"Fecha/Hora","Valor"
"2025-09-19T06:55:48","158.43"
"2025-09-19T06:56:03","158.41"
"2025-09-19T06:56:18","158.43"
"2025-09-19T06:56:33","158.43"
"2025-09-19T06:56:48","158.44"
"2025-09-19T06:57:03","158.43"
"2025-09-19T06:57:18","158.46"
"2025-09-19T06:57:34","158.46"
"2025-09-19T06:57:49","158.44"
"2025-09-19T06:58:04","158.43"
"2025-09-19T06:58:19","158.43"
"2025-09-19T06:58:34","158.44"
"2025-09-19T06:58:49","158.44"
"2025-09-19T06:59:04","158.46"
"2025-09-19T06:59:20","158.43"
"2025-09-19T06:59:35","158.43"
"2025-09-19T06:59:50","158.46"
"2025-09-19T07:00:05","158.44"
"2025-09-19T07:00:20","158.43"
"2025-09-19T07:00:35","158.43"
"2025-09-19T07:00:50","158.43"
"2025-09-19T07:01:06","158.46"
"2025-09-19T07:01:21","158.46"
"2025-09-19T07:01:36","158.44"
"2025-09-19T07:01:51","158.44"
"2025-09-19T07:02:06","158.44"
"2025-09-19T07:02:21","158.43"
"2025-09-19T07:02:36","158.46"
"2025-09-19T07:02:52","158.43"
"2025-09-19T07:03:07","158.43"
"2025-09-19T07:03:22","158.43"
"2025-09-19T07:03:37","158.43"
"2025-09-19T07:03:52","158.41"
"2025-09-19T07:04:07","158.43"
"2025-09-19T07:04:22","158.44"
"2025-09-19T07:04:37","158.43"
"2025-09-19T07:04:52","158.43"
"2025-09-19T07:05:08","158.41"
"2025-09-19T07:05:23","158.41"
"2025-09-19T07:05:38","158.41"
"2025-09-19T07:05:53","158.43"
"2025-09-19T07:06:08","158.41"
"2025-09-19T07:06:23","158.43"
"2025-09-19T07:06:38","158.39"
"2025-09-19T07:06:54","158.41"
"2025-09-19T07:07:09","158.41"
"2025-09-19T07:07:24","158.41"
"2025-09-19T07:07:39","158.43"
"2025-09-19T07:07:54","158.41"
"2025-09-19T07:08:09","158.43"
"2025-09-19T07:08:24","158.43"
"2025-09-19T07:08:40","158.43"
"2025-09-19T07:08:55","158.43"
"2025-09-19T07:09:10","158.39"
"2025-09-19T07:09:25","158.43"
